wavelength_nm,ordinary,extraordinary
380,7.7237964021814963E-20,1.7652911322637037E-19
381,8.075494238315207E-20,1.8574108786813216E-19
382,8.4542615062767618E-20,1.9576605337708E-19
383,8.8330988080841873E-20,2.0579172948635011E-19
384,9.2390172539988033E-20,2.1581799557621498E-19
385,9.6179853029911494E-20,2.2557394115679885E-19
386,1.0024034751883848E-19,2.3533026711582341E-19
387,1.0430145022679034E-19,2.4454524851275678E-19
388,1.0836311693207348E-19,2.5321878324413199E-19
389,1.1215493773349677E-19,2.6135079340780454E-19
390,1.1621757704099355E-19,2.6894121925496316E-19
391,1.2001023386404563E-19,2.7571916406918452E-19
392,1.2380324959253925E-19,2.8168458285650047E-19
393,1.2759659868709219E-19,2.8683744219932372E-19
394,1.3111974609674396E-19,2.9117771732086146E-19
395,1.3464313551560663E-19,2.9443453087192454E-19
396,1.3789619828159571E-19,2.9687872686677583E-19
397,1.4114943316906802E-19,2.9823943659299026E-19
398,1.4440282850110103E-19,2.9851665445882467E-19
399,1.4738577178722264E-19,2.9798124007114669E-19
400,1.5009821062051374E-19,2.9636233569779794E-19
401,1.5281072618007104E-19,2.9393080785055495E-19
402,1.5525267622059117E-19,2.9041580790415202E-19
403,1.5769467145160815E-19,2.8608820980390575E-19
404,1.5959539816926625E-19,2.8094803259241572E-19
405,1.6122546918328481E-19,2.7526615233706747E-19
406,1.6285553094999345E-19,2.6931343957893152E-19
407,1.6394423957524271E-19,2.6281906837113754E-19
408,1.6476224398939922E-19,2.5632475115846004E-19
409,1.6530953543338893E-19,2.498305000354685E-19
410,1.6531543182748426E-19,2.430654999996184E-19
411,1.6532128302958453E-19,2.3657142901034744E-19
412,1.6505641381019933E-19,2.298066546850746E-19
413,1.6425015408841686E-19,2.2358364088512359E-19
414,1.6317318917241684E-19,2.1708996293666205E-19
415,1.6182553104287426E-19,2.1086724854849899E-19
416,1.6020719514921871E-19,2.0464471282067594E-19
417,1.583182007678484E-19,1.986931493327756E-19
418,1.5615857145881163E-19,1.9274179263276266E-19
419,1.5372833563642712E-19,1.867906694032376E-19
420,1.5075690698605975E-19,1.8083980909646788E-19
421,1.4778557985426458E-19,1.7515995773996078E-19
422,1.4427318027774835E-19,1.6948040302397331E-19
423,1.4076096324144496E-19,1.6380117921858436E-19
424,1.3670784006500878E-19,1.5839298248331802E-19
425,1.3292554231304337E-19,1.5298515193994585E-19
426,1.2860251273528014E-19,1.4757772666569062E-19
427,1.2455035878388952E-19,1.4217074942298658E-19
428,1.2022813645093557E-19,1.3676426700960191E-19
429,1.1563597452114441E-19,1.3162886163447709E-19
430,1.1131476612942046E-19,1.2622349384769102E-19
431,1.067237777309575E-19,1.2081878630696861E-19
432,1.0213347263043156E-19,1.1568522850235087E-19
433,9.7543909044971492E-20,1.1028200442510184E-19
434,9.2955149805672117E-20,1.0514998974196977E-19
435,8.809713261489935E-20,9.974855272803452E-20
436,8.3510251314565193E-20,9.4618396056558739E-20
437,7.8924399156052739E-20,8.9489275347258427E-20
438,7.4069732249139182E-20,8.4361287432731086E-20
439,6.9756131393081887E-20,7.9504573968484146E-20
440,6.5173907772556245E-20,7.4649065028198293E-20
441,6.0862784940386834E-20,7.006475641910959E-20
442,5.6822608735801313E-20,6.5751523533821505E-20
443,5.2783693837156213E-20,6.1439488568592624E-20
444,4.9015553826049336E-20,5.7398398405342053E-20
445,4.5248664981145526E-20,5.3358519244937217E-20
446,4.2021584702545901E-20,4.9589420175442276E-20
447,3.8795529975770777E-20,4.6090919439669564E-20
448,3.5839620557441053E-20,4.2862827509602711E-20
449,3.3153640506570846E-20,3.9904950185940845E-20
450,3.0737376452987896E-20,3.6947933742835716E-20
451,2.8321795811273515E-20,3.4260894006232447E-20
452,2.6444419797527487E-20,3.1843627971317591E-20
453,2.4567475111751996E-20,2.9427012358869501E-20
454,2.2959599758335118E-20,2.7548776133358076E-20
455,2.1620625064701623E-20,2.5670950449761094E-20
456,2.0281874002595802E-20,2.3793549483241843E-20
457,1.8943352504419778E-20,2.2453928210336734E-20
458,1.7873490875288573E-20,2.111452087281389E-20
459,1.7072163693680992E-20,1.9775333152843913E-20
460,1.62709051579253E-20,1.897344861311782E-20
461,1.5469716814918568E-20,1.7903114653049134E-20
462,1.493690353154828E-20,1.7101390587281177E-20
463,1.4404107157384948E-20,1.603129471916925E-20
464,1.3871328331762051E-20,1.4961343523858274E-20
465,1.3338567694389338E-20,1.442825359664353E-20
466,1.3342287947512698E-20,1.4163533097574261E-20
467,1.3614234428135338E-20,1.4703892256811917E-20
468,1.388617143725138E-20,1.4975878223438945E-20
469,1.3353305642681476E-20,1.3637619308071765E-20
470,1.2552241848847535E-20,1.2031339869869506E-20
471,1.2019439291934961E-20,1.0693655180303184E-20
472,1.2023013001876803E-20,9.8925647455254604E-21
473,1.2831191602457937E-20,9.8960286135956383E-21
474,1.3907733409712497E-20,1.0435849712703877E-20
475,1.4716132831789302E-20,1.178043763807822E-20
476,1.4451320691397792E-20,1.2588690004113031E-20
477,1.3918210657972457E-20,1.2055501087598311E-20
478,1.3385121726912008E-20,1.0717624483400906E-20
479,1.3656810845615009E-20,9.9163594153689308E-21
480,1.3928492741607291E-20,9.9196743018260401E-21
481,1.4736782420891878E-20,9.9229686722469311E-21
482,1.5276813202477535E-20,9.9262427119266357E-21
483,1.5816873546795789E-20,1.019769023277519E-20
484,1.635696313314028E-20,1.0469132140052657E-20
485,1.716550185549898E-20,1.0740568523181934E-20
486,1.8242592265662133E-20,1.101199947035014E-20
487,1.9051335666168166E-20,1.1551683236291848E-20
488,2.0128705169435276E-20,1.1823116489986323E-20
489,2.1206232085345037E-20,1.2362840196940749E-20
490,2.2283913301727374E-20,1.2902595844260508E-20
491,2.3361745764710584E-20,1.3442383090379363E-20
492,2.4708446949316465E-20,1.3982201597255402E-20
493,2.5786612782245741E-20,1.4790454145397557E-20
494,2.7133729129636293E-20,1.5330357531740664E-20
495,2.8481069981024626E-20,1.5870290962893613E-20
496,3.0097541529024948E-20,1.6678737562229121E-20
497,3.1445360375403365E-20,1.7218752715162885E-20
498,3.3062396161891375E-20,1.8027335833504005E-20
499,3.4679728607710922E-20,1.8836002174956298E-20
500,3.6297349272116558E-20,1.9644750461675514E-20
501,3.7915249943587376E-20,2.0453579434473537E-20
502,3.980263618479661E-20,2.1262487852552603E-20
503,4.1690385358387119E-20,2.2071474493243439E-20
504,4.3578485546471346E-20,2.3149275911057692E-20
505,4.5736299788989175E-20,2.3958445234440305E-20
506,4.7625115689513664E-20,2.4767688804001366E-20
507,4.978372294138128E-20,2.5845840833853976E-20
508,5.1942731431561645E-20,2.6924130957966848E-20
509,5.4371707641412472E-20,2.8002556455656579E-20
510,5.6531521369307934E-20,2.8812168411578379E-20
511,5.8961370861597621E-20,2.98908210804028E-20
512,6.1391655707350915E-20,3.0969601914574022E-20
513,6.3822357713910654E-20,3.2048508379628806E-20
514,6.625345942215508E-20,3.285846135417206E-20
515,6.8684944077727909E-20,3.3937578439890881E-20
516,7.138670507212501E-20,3.5016814443750353E-20
517,7.3818947620657948E-20,3.6096167005177595E-20
518,7.6521516317224305E-20,3.690643553842426E-20
519,7.9224482353372371E-20,3.7985983313976777E-20
520,8.1657757603114155E-20,3.9065641396888465E-20
521,8.4631533384010611E-20,4.0145407588918746E-20
522,8.7335583884891719E-20,4.095596800050152E-20
523,9.0310140609950576E-20,4.203591506757441E-20
524,9.3014864073834223E-20,4.311596442521631E-20
525,9.5990127331721894E-20,4.4196114026690105E-20
526,9.8695459298930218E-20,4.500694429571929E-20
527,1.016713615367391E-19,4.581782347097967E-20
528,1.0464757424406928E-19,4.689820883787207E-20
529,1.0762408143924059E-19,4.7709203327764683E-20
530,1.103304839484661E-19,4.852024414722988E-20
531,1.1330751064145096E-19,4.9331330555988658E-20
532,1.1601435967875728E-19,5.0142461824762998E-20
533,1.1872140518632347E-19,5.0684082769459813E-20
534,1.2169910766227941E-19,5.1495283131966626E-20
535,1.2413604839953415E-19,5.2036941230437713E-20
536,1.2684362854878735E-19,5.2578611387081505E-20
537,1.2928084842346369E-19,5.3120293459945076E-20
538,1.3198872712937709E-19,5.3661987308556328E-20
539,1.3442620073130339E-19,5.3934065172300161E-20
540,1.3686378561638556E-19,5.4206136648158644E-20
541,1.393014767926674E-19,5.4478201802212349E-20
542,1.4146868018453819E-19,5.4750260699792248E-20
543,1.4363595793045384E-19,5.5022313405489586E-20
544,1.4580330694157503E-19,5.5024707799336406E-20
545,1.4770010539556989E-19,5.5027089798810802E-20
546,1.4986757856615641E-19,5.5029459502406914E-20
547,1.5149384288955013E-19,5.5031817007658131E-20
548,1.5312013618497434E-19,5.5034162411148324E-20
549,1.5474645740104683E-19,5.476684746793102E-20
550,1.561021514396715E-19,5.4499525559102569E-20
551,1.5745785990029984E-19,5.4232196804963284E-20
552,1.5881358225824665E-19,5.369523467886578E-20
553,1.5962798209894665E-19,5.3158282514707599E-20
554,1.604423790271907E-19,5.2621340605173795E-20
555,1.6098610056097236E-19,5.2084409243813322E-20
556,1.6152981421439483E-19,5.1547488725064764E-20
557,1.6207352004046363E-19,5.074101558646282E-20
558,1.6234654072200581E-19,5.0204129377528981E-20
559,1.6234887333599674E-19,4.9397720973645037E-20
560,1.6208051780236986E-19,4.8591354941588935E-20
561,1.6181215158509289E-19,4.7515541116617389E-20
562,1.6100242811793292E-19,4.6709281103577238E-20
563,1.6046337163792222E-19,4.5633619635910759E-20
564,1.5965363944811663E-19,4.4827470097098326E-20
565,1.5857324039278946E-19,4.3482572962819452E-20
566,1.5722218660533616E-19,4.2407191676846862E-20
567,1.5560049379268353E-19,4.133190775880556E-20
568,1.5397882725516904E-19,4.025672325117556E-20
569,1.5208654899792108E-19,3.9181640230609525E-20
570,1.4992368376123732E-19,3.7837414399638994E-20
571,1.4776088098133966E-19,3.676257041221279E-20
572,1.4559814346271998E-19,3.5418656144882966E-20
573,1.4316487441907171E-19,3.434406222531491E-20
574,1.4046111235287648E-19,3.3269581823299249E-20
575,1.3775747439546098E-19,3.1926141135607233E-20
576,1.3478341013465815E-19,3.0851927512073124E-20
577,1.3180951494819001E-19,2.9777835057810525E-20
578,1.2856527740007118E-19,2.8434898865218755E-20
579,1.2532126700401015E-19,2.7361090842468533E-20
580,1.2207749720495562E-19,2.6018523841316469E-20
581,1.1829307571333631E-19,2.4945013044135195E-20
582,1.1450902898043638E-19,2.3871637353056893E-20
583,1.1099577606430735E-19,2.2798399448315621E-20
584,1.0694216333802877E-19,2.145657211544644E-20
585,1.0315940047921511E-19,2.0383656994432754E-20
586,9.9106837169802291E-20,1.9310888675562462E-20
587,9.5054875197916643E-20,1.8238270037269936E-20
588,9.10035578738709E-20,1.7165804006672661E-20
589,8.6952931545484628E-20,1.6362021433173566E-20
590,8.2903045808172347E-20,1.5558323107560654E-20
591,7.9123998382709691E-20,1.4754710349711873E-20
592,7.5075697400001069E-20,1.3682753151418032E-20
593,7.1298229584303794E-20,1.2879348593401792E-20
594,6.7521602732501852E-20,1.2076034100317957E-20
595,6.3745872696522114E-20,1.1541141950872833E-20
596,5.9971098945345054E-20,1.0737977390320574E-20
597,5.6736658045907545E-20,1.0203180180225709E-20
598,5.3233414406996657E-20,9.6684198957820549E-21
599,5.0000666598830353E-20,9.133697003717455E-21
600,4.6768802376265126E-20,8.599011973711212E-21
601,4.4076600527503082E-20,8.0643652784282667E-21
602,4.1385073378036254E-20,7.7979252606428596E-21
603,3.8694252494356208E-20,7.2633325427286468E-21
604,3.627332582631117E-20,6.7287793820323573E-21
605,3.3853020808166775E-20,6.4623737264260788E-21
606,3.1433363514184769E-20,6.1959719410575432E-21
607,2.9283320070037274E-20,5.6614907199576631E-21
608,2.7133827212453235E-20,5.3951091093715125E-21
609,2.5253707987605897E-20,5.1287317516570639E-21
610,2.3642783043465446E-20,4.5943246967979362E-21
611,2.1763507340362429E-20,4.3279684953784003E-21
