wavelength_nm,ordinary,extraordinary
380,1.0368843823074732E-17,8.6908741179927306E-18
381,1.0361291673899613E-17,8.6135902699133644E-18
382,1.0433174057071618E-17,8.600882221286389E-18
383,1.0418127205870624E-17,8.5012026559091029E-18
384,1.0482520769498999E-17,8.488461511415648E-18
385,1.046741024617867E-17,8.4831620585880813E-18
386,1.0531749014531904E-17,8.3908801933296498E-18
387,1.0509144378050361E-17,8.4004654555542007E-18
388,1.0486509473714036E-17,8.3379623523403737E-18
389,1.0558209812009793E-17,8.2903498363766003E-18
390,1.0535522095277203E-17,8.2576296342574255E-18
391,1.0607181965046929E-17,8.2472544445917296E-18
392,1.0591886399797265E-17,8.172220301815851E-18
393,1.0663510224044395E-17,8.1195264227954597E-18
394,1.0655614140065355E-17,8.0891736572061994E-18
395,1.0647697803955012E-17,8.0886142549137913E-18
396,1.0734158183323601E-17,8.0233842016345515E-18
397,1.0733650088999321E-17,7.9879457496084038E-18
398,1.0733124452597279E-17,7.9822992337344541E-18
399,1.0740026228556177E-17,7.9989932363343678E-18
400,1.0841323402390935E-17,7.9584672156174411E-18
401,1.0855642073739353E-17,7.9402832595103901E-18
402,1.0877391719092417E-17,7.8648862462858609E-18
403,1.0899127737667097E-17,7.8118366915015994E-18
404,1.084876537187431E-17,7.868133019783294E-18
405,1.0892811242076913E-17,7.852322008913496E-18
406,1.0936845430712227E-17,7.7569640015105456E-18
407,1.0995760944358363E-17,7.7634953163396615E-18
408,1.0975127103980437E-17,7.7700184762371635E-18
409,1.1048911774660149E-17,7.7765333819388165E-18
410,1.1050591457229096E-17,7.7035187515793245E-18
411,1.1139246505573038E-17,7.7100207648858731E-18
412,1.1148347489812834E-17,7.7239643685725833E-18
413,1.1172328831048711E-17,7.7229981645247817E-18
414,1.1203743876266243E-17,7.7294729268994012E-18
415,1.1242592441904606E-17,7.7284882057364816E-18
416,1.1288874247005383E-17,7.7274937656269072E-18
417,1.1342588903390238E-17,7.7190400492604555E-18
418,1.1403735903128785E-17,7.710576283666361E-18
419,1.1385323877191906E-17,7.7021019547162785E-18
420,1.1468778188213367E-17,7.6936164709138364E-18
421,1.1552217046604026E-17,7.7645946504689313E-18
422,1.1563539343735773E-17,7.7486334292043887E-18
423,1.166183335957258E-17,7.7326597902431887E-18
424,1.1688008110675867E-17,7.7092268480683291E-18
425,1.1706721691355228E-17,7.7726876201311924E-18
426,1.182728490820827E-17,7.7492230636531987E-18
427,1.1853399930935512E-17,7.8126432594681154E-18
428,1.188693466968434E-17,7.7891430660687943E-18
429,1.1927885715358508E-17,7.8450755595621557E-18
430,1.2048351173015048E-17,7.8215356860171947E-18
431,1.2089248406211455E-17,7.8848609962437934E-18
432,1.2130117244822883E-17,7.8538350371943545E-18
433,1.2170956214924352E-17,7.9171041704455185E-18
434,1.2211763714174888E-17,7.8860280775079718E-18
435,1.2259969528780026E-17,7.9492332380034629E-18
436,1.2387675850241235E-17,7.9180990014360812E-18
437,1.242837407294741E-17,7.9737982278457362E-18
438,1.2476458773845565E-17,7.9425979430748193E-18
439,1.2509649508568699E-17,7.9907892697539385E-18
440,1.2550221676696955E-17,8.0389395563092254E-18
441,1.2670288060312199E-17,7.9927711099538872E-18
442,1.2695929048632699E-17,8.0259899269548426E-18
443,1.2721527047428326E-17,8.0591682406222233E-18
444,1.2826624711168333E-17,8.0848851787442612E-18
445,1.2844720703583623E-17,8.1105614761661687E-18
446,1.2847958101284625E-17,8.1287811495692982E-18
447,1.2938112642384467E-17,8.1395493075965712E-18
448,1.3020825659643237E-17,8.1428712715308111E-18
449,1.3009149437261651E-17,8.1387524900415673E-18
450,1.3076997173134104E-17,8.1346032360944609E-18
451,1.3144816808479526E-17,8.2098443935754716E-18
452,1.3110868554361269E-17,8.1908302177815947E-18
453,1.316385123117074E-17,8.1717916551649451E-18
454,1.3209422533972206E-17,8.224754849554001E-18
455,1.3247587190095056E-17,8.1908783444402585E-18
456,1.3285736836915373E-17,8.1569839480287596E-18
457,1.3323871396137898E-17,8.1951030904311828E-18
458,1.3354606187802703E-17,8.1463931952809844E-18
459,1.3290993145691185E-17,8.1844834252843777E-18
460,1.3314321041908755E-17,8.2077837373060234E-18
461,1.3337638566296418E-17,8.1516484820870851E-18
462,1.3353564485871536E-17,8.1749278743194615E-18
463,1.3369481658448029E-17,8.2055824393737705E-18
464,1.3385390144507657E-17,8.1494144781922891E-18
465,1.3401290003602561E-17,8.1652794754228343E-18
466,1.3402422731086329E-17,8.0869453923280236E-18
467,1.3309217153400705E-17,8.073263079457284E-18
468,1.3302954879280356E-17,8.0669563489634577E-18
469,1.3318825642989354E-17,8.10494139242073E-18
470,1.3255117513609328E-17,8.0634860493272422E-18
471,1.3270970870783741E-17,8.0146364605180791E-18
472,1.327206041688301E-17,8.0378207195384527E-18
473,1.3164059179096868E-17,7.9520624770470304E-18
474,1.3135615152615676E-17,7.938342285569629E-18
475,1.3114540570711234E-17,7.9024750953015287E-18
476,1.3122983692540789E-17,7.8813559279848173E-18
477,1.305185432194687E-17,7.810334727885368E-18
478,1.2980719121765544E-17,7.8482433245181435E-18
479,1.2887438568123985E-17,7.7845855555603313E-18
480,1.2881092918538499E-17,7.6987887589616709E-18
481,1.2773037674924053E-17,7.6997795357045899E-18
482,1.2759295345444E-17,7.6139726852194808E-18
483,1.2658607290938372E-17,7.6075727470936871E-18
484,1.2557913617653247E-17,7.5143774379935207E-18
485,1.2449829921595728E-17,7.5079644745578415E-18
486,1.2421284817007911E-17,7.4147588097411371E-18
487,1.2313183979068847E-17,7.400953021718306E-18
488,1.2197688455618086E-17,7.3077368882398388E-18
489,1.2082184137303917E-17,7.2939171416257995E-18
490,1.1966671179905646E-17,7.1933090546222039E-18
491,1.1938072265930969E-17,7.1794749283640536E-18
492,1.1815147452357769E-17,7.078855195310288E-18
493,1.1699606094483568E-17,7.0576229339073764E-18
494,1.157666153093421E-17,6.9569911857435068E-18
495,1.1453706727797932E-17,6.9431284390466642E-18
496,1.132334389565566E-17,6.8350993727314919E-18
497,1.120036801492467E-17,6.821222401007852E-18
498,1.1069981863927373E-17,6.713180358028089E-18
499,1.0939583751054941E-17,6.6051329652257522E-18
500,1.080917397283643E-17,6.5838451926050422E-18
501,1.0678752818960177E-17,6.4757844440480055E-18
502,1.0540914260782441E-17,6.4544808039438513E-18
503,1.0403062171586713E-17,6.3464070521846219E-18
504,1.0265196941469658E-17,6.2309351936000497E-18
505,1.0119908207909053E-17,6.2096074232842645E-18
506,9.9820165041702933E-18,6.1015154948745338E-18
507,9.8366992924376939E-18,5.9860230555645194E-18
508,9.6913678020120068E-18,5.9572750061385224E-18
509,9.5386060715674408E-18,5.8417670148986157E-18
510,9.39324612665838E-18,5.7336519069771955E-18
511,9.1535795490099316E-18,5.7048777841697636E-18
512,9.0007751426535992E-18,5.589349870101016E-18
513,8.8479563254860349E-18,5.4738162406979782E-18
514,8.6951236353742515E-18,5.4524185998798661E-18
515,8.5422775903616106E-18,5.336871749272614E-18
516,8.3819932324346803E-18,5.2213195285648312E-18
517,8.2291208673932778E-18,5.1924951587866708E-18
518,8.0688089312539383E-18,5.0843353414994996E-18
519,7.9084834685086807E-18,4.9687654634361314E-18
520,7.7555749062170066E-18,4.9399177707020525E-18
521,7.587794192898888E-18,4.8243350261134381E-18
522,7.4274314378654666E-18,4.7161565904680909E-18
523,7.2596244308849647E-18,4.6872863994575708E-18
524,7.0992384601837392E-18,4.571687491220408E-18
525,6.9314074205763209E-18,4.4560841855877669E-18
526,6.7710002199621095E-18,4.3478885160378365E-18
527,6.6031472171007505E-18,4.3264017068637967E-18
528,6.435283558964236E-18,4.210784102756601E-18
529,6.2674097368772839E-18,4.1025762478183078E-18
530,6.1069647313805983E-18,3.994365729874956E-18
531,5.9390726463657198E-18,3.9728549099162618E-18
532,5.8654308344096934E-18,3.8646360228121961E-18
533,5.7049596424473652E-18,3.7638303639858134E-18
534,5.5370406072013138E-18,3.655607131407937E-18
535,5.3839966509849992E-18,3.6414908101783964E-18
536,5.2235054333296652E-18,3.5406770542137643E-18
537,5.0704504006785898E-18,3.4398619101634167E-18
538,4.909947669942524E-18,3.3390454317691895E-18
539,4.8436852030301992E-18,3.245645375572956E-18
540,4.6906125514161777E-18,3.2389242110867005E-18
541,4.5375354812919845E-18,3.1455193644680539E-18
542,4.3918983312163034E-18,3.0521138609379632E-18
543,4.2462577357546409E-18,2.9587077471430173E-18
544,4.10061382670886E-18,2.8727194483408699E-18
545,3.9624117051260178E-18,2.7867308059650193E-18
546,3.9035474930106076E-18,2.7007418649454604E-18
547,3.7727826143346682E-18,2.7014121033405598E-18
548,3.6420157568033675E-18,2.6154192396182332E-18
549,3.5112469947577347E-18,2.5368444681073013E-18
550,3.3879223433032807E-18,2.4582694235998256E-18
551,3.2645962487556388E-18,2.3796941491351098E-18
552,3.1412687702017134E-18,2.3085363638320648E-18
553,3.0328326132335813E-18,2.2373779781891967E-18
554,2.9243956232789374E-18,2.1662190298133848E-18
555,2.8234042924553478E-18,2.0950595560652122E-18
556,2.722412352926317E-18,2.1105311406475126E-18
557,2.621419846688319E-18,2.0467830864126147E-18
558,2.5278733981823343E-18,1.9756183321101435E-18
559,2.441773130824579E-18,1.9118683086526479E-18
560,2.363119089597484E-18,1.8481170919186986E-18
561,2.2844647318094487E-18,1.7917786475790725E-18
562,2.22070304027593E-18,1.7280245911130252E-18
563,2.0627604206081336E-18,1.6716821198566398E-18
564,1.9990011183801777E-18,1.6079252759532277E-18
565,1.9426876818189256E-18,1.558990063449992E-18
566,1.8938198187056779E-18,1.5026404569556636E-18
567,1.765679171874416E-18,1.4462884488975482E-18
568,1.7242586963188762E-18,1.3899340258733467E-18
569,1.6902827491087167E-18,1.3335771733649086E-18
570,1.5770459366551448E-18,1.3712089486516232E-18
571,1.5505152834858659E-18,1.3148425686969591E-18
572,1.4372880846706625E-18,1.2658790310829568E-18
573,1.4182013593902918E-18,1.2095067577901183E-18
574,1.3198717410373993E-18,1.1531319172954379E-18
575,1.3082265018545901E-18,1.1041570182234508E-18
576,1.2173470170963076E-18,1.0477760744393782E-18
577,1.2131404277145303E-18,1.0779534808745858E-18
578,1.1297079051817201E-18,1.0289628347936849E-18
579,1.1329362946874806E-18,9.7256897038501554E-19
580,1.0495055280221502E-18,9.2356969708229448E-19
581,9.8095967248593564E-19,9.5371871999646729E-19
582,9.9905297014395279E-19,8.9731147821976804E-19
