wavelength_nm,ordinary,extraordinary
380,1.8523153436690499E-17,1.7050991530846569E-17
381,1.8319616087566495E-17,1.6801558274916057E-17
382,1.8088549406544382E-17,1.6538019572453911E-17
383,1.7848790149845034E-17,1.628092765354975E-17
384,1.76026513476814E-17,1.6019875169114898E-17
385,1.7359292134075235E-17,1.5771670045461274E-17
386,1.7131318226397451E-17,1.5527057752632036E-17
387,1.6909852977164587E-17,1.5275347806407246E-17
388,1.6664677648604475E-17,1.5011540270978555E-17
389,1.6381677484034926E-17,1.4746266089230092E-17
390,1.6090222793416197E-17,1.4493331721820019E-17
391,1.5815855066868998E-17,1.424439351724197E-17
392,1.5558873790126929E-17,1.4001658869770347E-17
393,1.5307419898871895E-17,1.3763564465382724E-17
394,1.5056461898388537E-17,1.3522678365192329E-17
395,1.4811932209549326E-17,1.3299297079490213E-17
396,1.4577775692574381E-17,1.3078762398228306E-17
397,1.4345108990821289E-17,1.2858697355967628E-17
398,1.4109051892672004E-17,1.264435723157444E-17
399,1.387978437610425E-17,1.2424024544361521E-17
400,1.3662725374031096E-17,1.2214967523294511E-17
401,1.3450779543032853E-17,1.2015084802019323E-17
402,1.3239170508625979E-17,1.1814638289892462E-17
403,1.3037018966549263E-17,1.1618697592282607E-17
404,1.284198016952297E-17,1.1419544578605512E-17
405,1.2648947644202157E-17,1.1222071267935966E-17
406,1.2454227729592904E-17,1.1033889911448966E-17
407,1.2264670683076225E-17,1.0851295745251113E-17
408,1.2086244206348333E-17,1.0672819431520853E-17
409,1.1913251589524053E-17,1.0494806599260736E-17
410,1.1744127378771928E-17,1.0322382491627513E-17
411,1.1584425088828493E-17,1.0162715471394156E-17
412,1.1433394040329311E-17,1.0005574570887111E-17
413,1.1287520824213709E-17,9.8470216502070893E-18
414,1.1145756388743469E-17,9.696583715434549E-18
415,1.1012094313852332E-17,9.55646477737645E-18
416,1.0886662244919829E-17,9.4141324727451656E-18
417,1.0768168282528071E-17,9.2810842127699787E-18
418,1.0653590933800736E-17,9.1506029206558568E-18
419,1.0541986132768841E-17,9.0194681852082555E-18
420,1.0433488063266918E-17,8.8904640733775222E-18
421,1.0334622118650613E-17,8.768552127272267E-18
422,1.0241096299495077E-17,8.655332425533126E-18
423,1.0149681057031481E-17,8.5374174616428422E-18
424,1.0060615108591821E-17,8.4255053012529398E-18
425,9.9795344322064872E-18,8.3177184230807118E-18
426,9.9049234974762233E-18,8.2172839117441265E-18
427,9.835683629952772E-18,8.1191989157386386E-18
428,9.7682793916455287E-18,8.0288660380356559E-18
429,9.7045974000152688E-18,7.9341621215305666E-18
430,9.6494336446048571E-18,7.8441457269334207E-18
431,9.6008512575446478E-18,7.7577566925606135E-18
432,9.5588747984127747E-18,7.6783720678772212E-18
433,9.5178554032724228E-18,7.6014129787633006E-18
434,9.4790928969310312E-18,7.5257831861697402E-18
435,9.443488057421731E-18,7.4566936889645199E-18
436,9.4130362211080852E-18,7.3875520828930149E-18
437,9.3861736890329592E-18,7.3268929597427342E-18
438,9.3598297531775076E-18,7.2574665261549486E-18
439,9.3362373515463869E-18,7.1947096391008048E-18
440,9.3141069288427265E-18,7.13662190648836E-18
441,9.2976967487740862E-18,7.0824264951511928E-18
442,9.2811585315541363E-18,7.0279426033470396E-18
443,9.2617964126328864E-18,6.9644834991323961E-18
444,9.2409850867845649E-18,6.9067571837053442E-18
445,9.221120713496489E-18,6.8586390050851539E-18
446,9.2034380902555389E-18,6.8055647367376336E-18
447,9.1868851929803448E-18,6.7531762661953799E-18
448,9.1724597161861817E-18,6.702159811053629E-18
449,9.1607416120679066E-18,6.6468216120597726E-18
450,9.1423067332190108E-18,6.5915612095280757E-18
451,9.1112558426534665E-18,6.5368292996952716E-18
452,9.0731395152199679E-18,6.4807816662741549E-18
453,9.0306829337048566E-18,6.4208645629755039E-18
454,8.9858251239299979E-18,6.3659153955220756E-18
455,8.9419586787113537E-18,6.3019133896707211E-18
456,8.8992251650153106E-18,6.2462793622213033E-18
457,8.8580025924632323E-18,6.1857576822260631E-18
458,8.8140043783755838E-18,6.1289519044620201E-18
459,8.764025222317425E-18,6.0634358397830379E-18
460,8.7066941270864347E-18,6.0016456329029218E-18
461,8.6474815559432345E-18,5.9305647816347318E-18
462,8.5886990774142118E-18,5.8595435763775158E-18
463,8.5286002307963119E-18,5.7970608679813814E-18
464,8.4637911203768131E-18,5.7283872918365455E-18
465,8.392389775700731E-18,5.6551857544043131E-18
466,8.3165630179522575E-18,5.5826454935961219E-18
467,8.2398507042382815E-18,5.518760363757173E-18
468,8.163521053418795E-18,5.444603505725786E-18
469,8.0861047631478176E-18,5.3706068516845804E-18
470,8.0039323992678424E-18,5.2987020532906995E-18
471,7.9144633728488284E-18,5.2209714470753514E-18
472,7.8211439897146952E-18,5.1401223599922161E-18
473,7.7315620438334689E-18,5.0689352457875369E-18
474,7.6431697909494276E-18,4.9911948188741043E-18
475,7.5534130602054298E-18,4.9141669473439008E-18
476,7.4610157986367016E-18,4.8395658672142452E-18
477,7.3649975901432999E-18,4.7658682174476385E-18
478,7.2623907113251838E-18,4.6889279673821392E-18
479,7.1601329605091903E-18,4.6071961607390993E-18
480,7.0567505748107099E-18,4.5275521755185092E-18
481,6.9546128835187306E-18,4.452388775676535E-18
482,6.8524330573424462E-18,4.377555654537218E-18
483,6.7474382329397653E-18,4.2987742995342314E-18
484,6.6386870416699112E-18,4.2171123838458829E-18
485,6.5262314321812667E-18,4.1350420652297576E-18
486,6.4127067834319159E-18,4.055017867093925E-18
487,6.3025318850409311E-18,3.9774436628290341E-18
488,6.1965673521615671E-18,3.904005777758309E-18
489,6.0887286890681395E-18,3.8225330761680213E-18
490,5.9792101278661439E-18,3.7415335290612909E-18
491,5.8697040413519392E-18,3.6642663739540612E-18
492,5.7583758733457265E-18,3.5893000233787787E-18
