wavelength_nm,ordinary,extraordinary
380,4.4844626710008993E-20,3.791767509379579E-20
381,4.3409762148706292E-20,3.62301209840715E-20
382,4.2227902369476413E-20,3.4846058461948418E-20
383,4.1444000522361543E-20,3.3838988654121003E-20
384,4.1100271141068672E-20,3.3157241409080966E-20
385,4.1140915759967022E-20,3.2796382446453171E-20
386,4.1377582064662061E-20,3.2788585719663768E-20
387,4.123104208181183E-20,3.2832148737178095E-20
388,3.9871131432454042E-20,3.2050604331078462E-20
389,3.7333592717782715E-20,2.9999708087849727E-20
390,3.4430022865603291E-20,2.7305093631543912E-20
391,3.16818023479192E-20,2.4638417833028781E-20
392,2.9064748077268825E-20,2.2202221473879322E-20
393,2.6377290499606462E-20,1.9970565801817418E-20
394,2.3669699859334853E-20,1.7881819297296699E-20
395,2.1146605794355875E-20,1.5921287416951026E-20
396,1.8888617306689603E-20,1.4126175084624402E-20
397,1.6879214637892474E-20,1.2547763048793211E-20
398,1.5116893400046786E-20,1.1205689650350088E-20
399,1.3613075259224968E-20,1.0084764813927135E-20
400,1.2338158511054399E-20,9.1656660622536822E-21
401,1.1243099024305049E-20,8.4231980160794704E-21
402,1.0293616639057561E-20,7.8171966426957463E-21
403,9.4536945914841638E-21,7.3102007446019593E-21
404,8.7017738885948513E-21,6.8803790238414391E-21
405,8.0463223994052802E-21,6.5170958515531589E-21
406,7.5016724854492658E-21,6.2123738896749388E-21
407,7.0621480962930681E-21,5.958539973007737E-21
408,6.7076842228096928E-21,5.7479301081451037E-21
409,6.4217691132804628E-21,5.5758254103952145E-21
410,6.1923180124721285E-21,5.4351627255749413E-21
411,6.0096096770007782E-21,5.3200588144274334E-21
412,5.8662822546440597E-21,5.2261023165555961E-21
413,5.7567426670388734E-21,5.150058778140623E-21
414,5.6765771094772635E-21,5.0895761655855509E-21
415,5.6216686353071228E-21,5.0440650950989347E-21
416,5.5896647068400681E-21,5.0146983539485268E-21
417,5.5770396275655578E-21,4.9997133990695401E-21
418,5.581443563353324E-21,4.9994034339101772E-21
419,5.6043453290154722E-21,5.0164109419266327E-21
420,5.6478020533158185E-21,5.0516176920654256E-21
421,5.7129909769463648E-21,5.1044383130445483E-21
422,5.8007969124294899E-21,5.1751690051360028E-21
423,5.9123997777697283E-21,5.261757544878776E-21
424,6.0460430861457999E-21,5.3636201011434569E-21
425,6.2014396887617023E-21,5.4816416721237935E-21
426,6.3818294659873032E-21,5.618470523142679E-21
427,6.5875157106347563E-21,5.7758753075879498E-21
428,6.8205663863196586E-21,5.9544508952073162E-21
429,7.0830514516793415E-21,6.1536176087500233E-21
430,7.3782191574534124E-21,6.3745593415672909E-21
431,7.7116736971554447E-21,6.6222825935162367E-21
432,8.0937312810416875E-21,6.8982695590074754E-21
433,8.5358947215631196E-21,7.2042979896692667E-21
434,9.0379049255682333E-21,7.5477357772075741E-21
435,9.590669980076624E-21,7.9327209701782676E-21
436,1.0192154737675884E-20,8.3592756316323806E-21
437,1.0837374118087381E-20,8.8274214922480329E-21
438,1.1518978576535828E-20,9.3336466209415463E-21
439,1.2232556194539006E-20,9.8744345176380547E-21
440,1.2977520935370367E-20,1.0451860059709995E-20
441,1.3757411821264554E-20,1.1072122608872913E-20
442,1.4575473976421193E-20,1.1742898165898384E-20
443,1.5426400866921694E-20,1.2468624769549841E-20
444,1.6301636796857062E-20,1.3246371574931388E-20
445,1.7206189663421063E-20,1.4067305569404E-20
