wavelength_nm,ordinary,extraordinary
380,2.5854019829562734E-19,2.6053441348952216E-19
381,2.6130085088077342E-19,2.6438471109812179E-19
382,2.6379065016990386E-19,2.6890067359877014E-19
383,2.6630956798733113E-19,2.7385051451686859E-19
384,2.6879781501331958E-19,2.7866087304268957E-19
385,2.7117204290878099E-19,2.8333998597035454E-19
386,2.7353795144556199E-19,2.8793890216670116E-19
387,2.7610608581189101E-19,2.9205326638069768E-19
388,2.788292327061275E-19,2.9599882506832753E-19
389,2.8116942616334704E-19,3.002405579404789E-19
390,2.8323148369717197E-19,3.0493336222825512E-19
391,2.8519253839024657E-19,3.0967542373307396E-19
392,2.8730248449712439E-19,3.1408469543094546E-19
393,2.8945424090149881E-19,3.1836099873987328E-19
394,2.9134622796228579E-19,3.2252583563832754E-19
395,2.9315083498398689E-19,3.2674530833282493E-19
396,2.9513266504187233E-19,3.309821731486901E-19
397,2.9738843778682573E-19,3.3514363265955848E-19
398,2.9974630519156127E-19,3.3911976566699928E-19
399,3.0192407600076617E-19,3.4303411462193084E-19
400,3.0389810793713678E-19,3.4694167004404966E-19
401,3.0589027329023474E-19,3.5057628592568274E-19
402,3.0783753593321984E-19,3.5419853939320766E-19
403,3.0976895694894536E-19,3.578910659904085E-19
404,3.1173584885502237E-19,3.6129180329458176E-19
405,3.1369977805308964E-19,3.6484315041114441E-19
406,3.1577150071064372E-19,3.6865026190051597E-19
407,3.1790048522977171E-19,3.7226748937174252E-19
408,3.2009336046765173E-19,3.7564160968465644E-19
409,3.221669920260849E-19,3.7879592830429231E-19
410,3.2403166850196851E-19,3.8188196276235517E-19
411,3.2598711871311198E-19,3.8503917396548957E-19
412,3.2804886397992745E-19,3.8800707605825454E-19
413,3.3008623817057847E-19,3.9103921812144055E-19
414,3.3202697719561642E-19,3.9402454393320866E-19
415,3.3393005422451185E-19,3.9693932361494481E-19
416,3.3603714755089453E-19,3.997797144325768E-19
417,3.3822054403535291E-19,4.0261545526155583E-19
418,3.4042901358030441E-19,4.0537039394760737E-19
419,3.4281883768021898E-19,4.0820398745085936E-19
420,3.4538656670476052E-19,4.1080494135566558E-19
421,3.4795543421460762E-19,4.1338143275083347E-19
422,3.5045997002588586E-19,4.1610134389396029E-19
423,3.5277545193127158E-19,4.1864798397064574E-19
424,3.5514593767064154E-19,4.2111524125640241E-19
425,3.5766535339695213E-19,4.2350281679350974E-19
426,3.6030781887913321E-19,4.2609529406991269E-19
427,3.6303136943076133E-19,4.2867329232291454E-19
428,3.6581178220685528E-19,4.315030963700223E-19
429,3.6865740138236576E-19,4.3411277767927642E-19
430,3.7172612920029439E-19,4.3672916593531808E-19
431,3.7496442329947141E-19,4.3940262055483805E-19
432,3.7825338310484696E-19,4.4195811906885873E-19
433,3.8159967819572431E-19,4.4438856428004799E-19
434,3.8496784217968548E-19,4.4697383574667526E-19
435,3.8840833866104728E-19,4.4962579431629729E-19
436,3.9193812401811906E-19,4.5218866147600194E-19
437,3.9540467837019208E-19,4.546426654743238E-19
438,3.9896340484627947E-19,4.5692915701681885E-19
439,4.0280626806330274E-19,4.5951225713030931E-19
440,4.0670463837526701E-19,4.6213162887123975E-19
441,4.1078011930203278E-19,4.6480422336906808E-19
442,4.1511708534916046E-19,4.6775282052141641E-19
443,4.1953905438453827E-19,4.7063839124047972E-19
444,4.2413794508064706E-19,4.7341862799372644E-19
445,4.2887594540973827E-19,4.7622836428593985E-19
446,4.3366545527091221E-19,4.7904778337656855E-19
447,4.3862248266382492E-19,4.8185905428965931E-19
448,4.4357340795562284E-19,4.846851537114247E-19
449,4.4860130027772011E-19,4.8760181270829885E-19
450,4.5377291423064388E-19,4.9040569802103695E-19
451,4.5918987562719138E-19,4.9349535645339388E-19
452,4.6490479214761493E-19,4.9673127680001754E-19
453,4.7070966648286926E-19,4.9972860103301529E-19
454,4.7662022061266462E-19,5.0279253544545944E-19
455,4.8280292257169922E-19,5.0574344868345015E-19
456,4.8904689253343173E-19,5.0888373229152664E-19
457,4.9551140111857638E-19,5.1208581858372202E-19
458,5.0229487807220042E-19,5.1531480156455095E-19
