wavelength_nm,ordinary,extraordinary
380,7.8505799226754986E-20,2.6009348505472721E-19
381,8.0391574132543064E-20,2.7140676491360082E-19
382,8.2277490021647668E-20,2.840662421566439E-19
383,8.4163540968069073E-20,2.96725919818932E-19
384,8.6049721253323197E-20,3.0938574763681606E-19
385,8.766755159102846E-20,3.2231489768795666E-19
386,8.9285455070205581E-20,3.3497491543595463E-19
387,9.0634916691290011E-20,3.4736576727554773E-19
388,9.1984408721551256E-20,3.597566463422336E-19
389,9.3065387813826124E-20,3.7133987728651399E-19
390,9.4146365439890934E-20,3.8265388033764953E-19
391,9.4958776614475831E-20,3.9342942315202687E-19
392,9.5771163379660295E-20,4.0339727335384398E-19
393,9.6314945341720275E-20,4.1255742208166734E-19
394,9.6858687502271884E-20,4.2090986303143726E-19
395,9.7133799970215784E-20,4.2872381518442568E-19
396,9.7408863859580228E-20,4.3546082868660473E-19
397,9.7683879730858654E-20,4.4139012450804808E-19
398,9.7690250572277756E-20,4.4651170115112373E-19
399,9.7696570688313951E-20,4.5082555763802595E-19
400,9.7702840646842056E-20,4.5406246916578115E-19
401,9.744046494100348E-20,4.5649165954936434E-19
402,9.7178042170875948E-20,4.5784390449836419E-19
403,9.6646984637921924E-20,4.5811920417681436E-19
404,9.6115889049788345E-20,4.5731755903550371E-19
405,9.5584756040657329E-20,4.5570819405768203E-19
406,9.4785017383230018E-20,4.5302188588869082E-19
407,9.3985256783276696E-20,4.4952785991989329E-19
408,9.2916926737245962E-20,4.4522611748741587E-19
409,9.1848597446159302E-20,4.3984743637863077E-19
410,9.0511749481736309E-20,4.3393026651000192E-19
411,8.9443438337098419E-20,4.2720538644535355E-19
412,8.8106640193924513E-20,4.1994202258491538E-19
413,8.6501405995209321E-20,4.1187095526276144E-19
414,8.4896247621934773E-20,4.0299218969222698E-19
415,8.3291168818030463E-20,3.9384417630589218E-19
416,8.1417768267115161E-20,3.8415769900791583E-19
417,7.9544503560483257E-20,3.7420198670274544E-19
418,7.7671380857945789E-20,3.6370782829994126E-19
419,7.5530086641272394E-20,3.5267523782986346E-19
420,7.3389009425867743E-20,3.4164266645690399E-19
421,7.1248159114679938E-20,3.300716981169722E-19
422,6.8839334074717223E-20,3.1850078627340705E-19
423,6.6430835934680541E-20,3.0639153465892663E-19
424,6.4022680279475695E-20,2.9455160659880618E-19
425,6.1614883309468074E-20,2.8244262403170225E-19
426,5.8939434111839005E-20,2.7033384020385675E-19
427,5.6532455287584335E-20,2.5795612263685019E-19
428,5.3857969155848218E-20,2.4611709968664556E-19
429,5.145188988842972E-20,2.3400929240140744E-19
430,4.8778461002556964E-20,2.221711434125537E-19
431,4.6373369684875966E-20,2.1060272916074206E-19
432,4.3968777119455665E-20,1.9930413454889103E-19
433,4.1297092926215163E-20,1.8800635440163852E-19
434,3.9161178709592256E-20,1.7724771360669947E-19
435,3.6758220349685236E-20,1.6675920245156177E-19
436,3.4623268566444503E-20,1.5627193179400261E-19
437,3.2221449094701423E-20,1.4632408215416903E-19
438,3.0087542645209312E-20,1.36646742447956E-19
439,2.8221362865025229E-20,1.2750891583729053E-19
440,2.6088443100682527E-20,1.1837294350599662E-19
441,2.4223148624749759E-20,1.0977662419995446E-19
442,2.2358287374270811E-20,1.0145119910351835E-19
443,2.0760811714284216E-20,9.3396768795388088E-20
444,1.9163665081491489E-20,8.5881920820027445E-20
445,1.7566857532163483E-20,7.8638035488991312E-20
446,1.5970399374782678E-20,7.1933445533926981E-20
447,1.4640991759609921E-20,6.5499635033746548E-20
448,1.3311829429136976E-20,5.9604650829758875E-20
449,1.2249506454910532E-20,5.3980100583835689E-20
450,1.1187335746166489E-20,4.8893731561162949E-20
451,1.0125320847042805E-20,4.4345052918069208E-20
452,9.3299221947525398E-21,3.9798261565151553E-20
453,8.2681804971062228E-21,3.5788548889425652E-20
454,7.739358428767088E-21,3.231535986398044E-20
455,6.94419673347271E-21,2.9110828923916506E-20
456,6.4154385091716026E-21,2.6174719956952639E-20
457,5.8867011322335803E-21,2.3506795348206616E-20
458,5.3579853045262632E-21,2.1106820325510798E-20
459,4.8292917284096317E-21,1.8974567436040347E-20
460,4.3006211068127265E-21,1.6842929018529503E-20
461,4.0381815823202807E-21,1.5245553038222454E-20
462,3.7757281269911661E-21,1.3648531983847769E-20
463,3.5132610449944809E-21,1.2318573106434922E-20
464,3.2507806377814366E-21,1.0988864982042101E-20
465,2.9882872041282996E-21,9.9260077363253901E-21
466,2.7257810401792265E-21,8.8633080895293954E-21
467,2.7294093433339931E-21,8.0672807760737113E-21
468,2.4668660299647505E-21,7.5378214499469283E-21
469,2.4704465273818231E-21,6.7419200118238015E-21
470,2.2078670377265043E-21,6.2125290687453158E-21
471,2.2114006173879915E-21,5.9495774985083565E-21
472,2.2149117483736058E-21,5.420209656970512E-21
473,2.2184006374935277E-21,5.6900448066964746E-21
474,2.4880100305841057E-21,6.2263058234966679E-21
475,2.7576141783618971E-21,6.2296958159839847E-21
476,2.4948810909504793E-21,5.4337984501961775E-21
477,2.2321378290861423E-21,4.3716289613947696E-21
478,1.9693846583642863E-21,3.8422660155567077E-21
479,1.9727430013180092E-21,3.5792391056644533E-21
480,1.9760804938559792E-21,3.582512746070263E-21
481,1.9793973246058778E-21,3.585766131132853E-21
482,1.9826936800711689E-21,3.5889994437407718E-21
483,1.9859697446607693E-21,3.3258990237120868E-21
484,2.2553672897088362E-21,3.3290915469894277E-21
485,2.2586045752191474E-21,3.5985807450691398E-21
486,2.2618221027971435E-21,3.6017355560675854E-21
487,2.2650200488269334E-21,3.60487117878737E-21
488,2.5343590658775791E-21,3.607987784199959E-21
489,2.5375195908588045E-21,3.8774195117932585E-21
490,2.5406610441341095E-21,3.8804997235336284E-21
491,2.8099615399996936E-21,4.1499107103350116E-21
492,3.07925944655639E-21,4.1529551566162926E-21
493,3.0823470550521025E-21,4.1559813986303382E-21
494,3.0854162412452002E-21,4.4253552132996292E-21
495,3.3546772689615957E-21,4.6947262518098303E-21
496,3.6239361207298512E-21,4.6977009982889737E-21
497,3.6269532894950078E-21,4.9670528055624501E-21
498,3.896193354924155E-21,4.9699935918020363E-21
499,4.1654315017625811E-21,5.2393266478088278E-21
500,4.1683979577427402E-21,5.5086573851361326E-21
501,4.4376179880938305E-21,5.7779858627565305E-21
502,4.7068363466374039E-21,5.7808614676218974E-21
503,4.9760530882068828E-21,6.0501720384080542E-21
504,4.978954242626189E-21,6.3194805921201504E-21
505,5.248153696101098E-21,6.5887871838648428E-21
506,5.5173517663034452E-21,6.8580918679244962E-21
507,5.7865485043286124E-21,7.1273946977689277E-21
508,6.0557439604832032E-21,7.3966957260669522E-21
509,6.3249381842960813E-21,7.6659950046977448E-21
510,6.8605294366239372E-21,7.9352925847619384E-21
511,7.1297351181435655E-21,8.2045885165929538E-21
512,7.3989396398175234E-21,8.4738828497676314E-21
513,7.6681430486040018E-21,8.7431756331168113E-21
514,7.9373453907339633E-21,9.0124669147362997E-21
515,8.2065467117215773E-21,9.5483782934148196E-21
516,8.4757470563744646E-21,9.8176793846127922E-21
517,9.0114519963056001E-21,1.0086979048504856E-20
518,9.280663745757291E-21,1.0356277330738528E-20
519,9.8164186837181662E-21,1.0892257690171953E-20
520,1.0085641678229994E-20,1.1161565699620093E-20
521,1.0354863775503471E-20,1.1430872396531217E-20
522,1.0890679976807868E-20,1.1966909467623703E-20
523,1.1159913177303967E-20,1.223622578070572E-20
524,1.1695777776003763E-20,1.2505540846954639E-20
525,1.2231678435179988E-20,1.3041633639652745E-20
526,1.2500934221689127E-20,1.3577760049963727E-20
527,1.3036882063093103E-20,1.384709519439622E-20
528,1.3572865077669607E-20,1.4383265314071345E-20
529,1.4108882900264268E-20,1.4652609676012945E-20
530,1.4644935169396779E-20,1.5188822876614689E-20
531,1.4914235144896237E-20,1.5458176325517565E-20
532,1.5450332414732454E-20,1.5994431987254942E-20
533,1.5986463282952002E-20,1.6263794393750172E-20
534,1.6522627400369625E-20,1.6800091905361561E-20
535,1.7058824421310577E-20,1.706946314126365E-20
536,1.7595054003574882E-20,1.7605801899902193E-20
537,1.8131315808402235E-20,1.8142171603858955E-20
538,1.8667609500437E-20,1.8411561249333246E-20
539,1.9203934747693678E-20,1.8947971160773352E-20
540,1.9740291221522965E-20,1.9217369241491861E-20
541,2.0276678596577763E-20,1.9753818780333394E-20
542,2.0813096550779834E-20,2.002322517348852E-20
543,2.134954476528681E-20,2.0559713767640305E-20
544,2.2153089826103968E-20,2.0829128351601038E-20
